,Source,RA,Dec,Flags
0,S240615dg_X40,7.2981187,46.3847929,0
1,S240615dg_X42,7.4061695,45.2723899,STAR_FOUND
2,S240615dg_X58,7.7665149,46.5555414,STAR_FOUND
3,S240615dg_X58,7.775191,46.5559472,STAR_FOUND
4,S240615dg_X65,7.3747374,46.6999527,STAR_FOUND
5,S240615dg_X65,7.3571383,46.6962194,STAR_FOUND
6,S240615dg_X65,7.3661723,46.7110767,0
7,S240615dg_X65,7.3564317,46.7086973,STAR_FOUND
8,S240615dg_X65,7.3849006,46.7050348,0
9,S240615dg_X65,7.3544673,46.7059745,STAR_FOUND
10,S240615dg_X65,7.3818273,46.6975214,STAR_FOUND
11,S240615dg_X65,7.3706624,46.7010246,STAR_FOUND
12,S240615dg_X65,7.3646585,46.704508,STAR_FOUND
13,S240615dg_X70,7.193917,46.0878291,STAR_FOUND
14,S240615dg_X70,7.193244,46.0887053,0
15,S240615dg_X71,7.1259109,46.3197414,STAR_FOUND
16,S240615dg_X72,7.0400338,46.3069461,STAR_FOUND
